country_name,country_code,indicator_name,indicator_code,value,year
Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.3,2017
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.6037225773497,2018
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Marshall Islands,MHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.6490020751953,2017
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.8022945843168,2018
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.4397258758545,2015
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,66.9911804199219,2018
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8278347045649,2016
Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.277889251709,2018
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,41.9628944396973,2017
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.1,2017
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.92,2018
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.5506744384766,2018
Poland,POL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,57.531120300293,2015
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2015
Zambia,ZMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.1,2015
New Zealand,NZL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.2359583261062,2015
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.4840262336021,2016
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9984923308801,2016
St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Low income,LIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.2184057666704,2015
Liechtenstein,LIE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,29.37,2016
Sierra Leone,SLE,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.3,2016
Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.2443618774414,2015
Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.8243363289186,2017
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9098510742188,2017
Uruguay,URY,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2017
Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2018
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.9579894941082,2016
Zimbabwe,ZWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,39.9239921569824,2016
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.6023195042475,2015
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9992652811927,2017
Moldova,MDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100.0,2016
