Access to electricity (% of population),"Current health expenditure per capita, PPP (current international $)",GDP per capita (constant LCU),"Government expenditure on education, total (% of GDP)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Out-of-pocket expenditure (% of current health expenditure),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Country
98.7132034301758,186.4072876,34696.1279892983,4.0588698387146005,6.6555611518,64.486,78.38278198,4.7,11.163999557495101,25.754,Afghanistan
100.0,697.30487061,541581.745631168,3.61172008514404,2.2894924438,78.458,44.58411789,6.3,12.812999725341802,61.229,Albania
100.0,962.71936035,444291.180605545,5.087593984603884,1.3642763974,76.693,32.64655304,3.2,11.5249996185303,73.189,Algeria
43.2592582702637,164.70602417,48339.2534146188,4.512600016593934,8.790139818044,60.782,36.79880905,4.7,6.77400016784668,66.17699999999999,Angola
100.0,1405.76794434,37895.034905990695,5.270403957366946,4.74780996146,76.885,29.45855904,0.5,12.65160007476807,24.506,Antigua and Barbuda
100.0,1989.63562012,15420.500921006598,5.46223020553589,5.3244787387,76.52,27.7300415,9.2,10.435999870300302,91.991,Argentina
100.0,1036.95446777,1942464.21659035,2.70759010314941,1.693915557,74.945,84.27638245,6.6,16.625,63.218999999999994,Armenia
100.0,1378.9499755860002,34589.705407816604,5.52414989471436,4.511920418619999,76.152,46.71812973,8.76,10.49019985198975,43.54600000000001,Aruba
100.0,5004.86669922,76985.347953721,5.124249935150151,0.89163240342,82.74878048780491,17.72058296,13.2,5.32800006866455,86.124,Australia
100.0,5879.10302734,42136.989616052204,5.35803985595703,0.9672286077399999,81.6926829268293,18.36519051,15.6,4.77899980545044,58.515,Austria
100.0,633.56213379,2976.18014314222,2.45543003082275,2.2011074484999997,72.86399999999999,72.80480957,2.6,5.96000003814697,56.031000000000006,Azerbaijan
100.0,2005.24621582,29596.746447846097,4.2846580028533925,31.958171469,73.752,27.18660164,1.7,11.270000457763699,83.132,"Bahamas, The"
100.0,1955.35192871,7863.283068441329,2.32781004905701,9.872354574300001,77.163,30.00357819,5.9,0.7630000114440921,89.39399999999999,Bahrain
85.1604232788086,109.6439209,67820.8853994422,1.32632005214691,2.3733287962,72.32,73.87189484,5.9,4.15100002288818,37.405,Bangladesh
100.0,1203.78686523,32199.656824318397,4.36638021469116,9.768350544199999,79.081,46.51942825,0.8,10.937999725341802,31.158,Barbados
100.0,1132.46948242,8541.75874228994,4.79499006271362,2.3908727902,74.1756097560976,24.9543705,26.2,4.625,79.044,Belarus
100.0,5404.91601563,38675.2240388957,6.412280082702639,1.6900542148,81.5951219512195,19.05391693,20.7,5.69199991226196,98.041,Belgium
99.5400161743164,506.31762695,7227.30451668106,7.561490058898929,37.788570288,74.49600000000001,23.23029137,4.7,6.35699987411499,45.86600000000001,Belize
41.529239654541,83.21243286,710377.1484053329,2.93396997451782,1.1274974068,61.47,44.54978943,9.9,2.02300000190735,47.861000000000004,Benin
100.0,790.61904297,101070.793829594,1.50039005279541,8.1428850908,81.6517073170732,33.789047242,8.280000000000001,8.786599922180185,100.0,Bermuda
100.0,322.09790039,94027.5484476315,6.85084009170532,1.193007386,71.46,13.16380501,11.4,2.39000010490417,41.611999999999995,Bhutan
95.5853652954102,496.09091187,4278.33793925396,3.621704053878782,6.2183744444,71.23899999999999,23.17128754,12.2,3.45000004768372,69.773,Bolivia
100.0,1300.77648926,9817.63253559527,4.816310024261474,1.1733102602,77.262,29.33151054,8.8,18.4379997253418,48.626000000000005,Bosnia and Herzegovina
64.8517227172852,1088.72900391,43146.4390933356,5.302453994750978,1.9834289219840002,69.275,3.31500101,9.3,18.7210006713867,70.172,Botswana
100.0,1530.82226563,19565.3648586476,6.32254981994629,27.382530291,75.672,27.54380798,6.5,11.9659996032715,86.824,Brazil
100.0,1633.80444336,14715.6512386247,4.0925002098083505,1.3046665939,74.9634146341464,40.51737976,11.5,3.8499999046325697,75.347,Bulgaria
14.4,111.71577454,437009.138356661,5.38379001617432,1.2504405198000001,61.174,35.83074951,7.7,6.41400003433228,29.98,Burkina Faso
11.024251937866199,65.79267883,154393.049517023,5.07864999771118,6.054537365599999,61.247,25.60256958,9.1,1.4079999923706101,13.366,Burundi
93.58599853515629,399.53582764,305972.26398815104,5.18174982070923,6.804422506799999,72.782,27.96337318,11.3,12.317999839782699,66.195,Cabo Verde
91.5506744384766,261.15719604,3431774.18072268,2.16285991668701,3.409461136444,69.57,57.52603912,5.3,0.695999979972839,23.805,Cambodia
62.660072326660206,133.60945129,651909.038281243,3.13120007514954,1.388093415,58.92100000000001,75.57914734,12.2,3.4279999732971205,56.968,Cameroon
100.0,5199.97314453,57221.7364363259,4.60565595626831,1.755921136,81.94878048780491,14.72872066,12.5,5.412000179290769,81.482,Canada
32.420398712158196,97.0058136,160721.97918521598,4.96827793121338,20.120400654,52.805,41.67272568,7.7,3.6960000991821302,41.77,Central African Republic
11.7593555450439,79.01350403,338971.14757147396,2.45481991767883,18.14757598704,53.977,61.90134811,8.8,1.942999958992,23.279,Chad
100.0,2305.67651367,8188564.34227549,5.4194598197937,4.4048944838,80.042,33.23550415,10.6,7.09600019454956,87.64299999999999,Chile
100.0,935.19287109,63793.1279853953,3.8857259988784776,0.52709078934,76.704,35.75065613,9.7,4.36999988555908,60.308,China
99.9364471435547,1155.4074707,17509713.2037401,4.4574899673461905,25.343802597,77.109,15.1307478,7.2,9.74400043487549,81.104,Colombia
81.9227523803711,134.20884705,490424.73897548,2.5450599193573,1.9590710100400002,64.118,74.54656982,6.8,4.36600017547607,29.164,Comoros
100.0,1336.52856445,5763854.49218623,7.04875993728638,11.261254504000002,80.095,22.4164238,7.9,12.7340002059937,80.07600000000001,Costa Rica
66.99118041992189,176.27853394,1376190.82875211,3.2560300827026403,4.115316126658,57.422,39.42552948,14.5,3.42300009727478,51.239,Cote d'Ivoire
100.0,1876.10449219,94537.7344225451,3.9171299934387203,0.57742179724,78.0707317073171,10.47844696,16.5,7.1139998435974094,57.242,Croatia
100.0,2519.29418945,5029.48544108389,4.449820089340209,5.0462686372,78.726,11.00801563,13.9,1.5900000333786002,77.109,Cuba
100.0,1066.186654664,23395.1332199215,4.722738027572634,10.985778719979999,78.0170731707317,43.687992480000005,6.24,9.04179992675782,89.098,Curacao
100.0,2624.85083008,24207.7687013265,5.7771902084350595,1.2612864112,80.828,44.63916016,5.3,7.23400020599365,66.805,Cyprus
100.0,5794.25927734,390432.87996173603,7.81608009338379,1.0083219593000001,80.95365853658541,13.76510525,12.8,4.84600019454956,87.994,Denmark
60.3954467773438,134.88937378,564707.876247997,3.62773990631104,1.840888620486,66.582,28.88780594,6.7,10.322999954223599,77.915,Djibouti
100.0,1017.50299072,244586.923435915,4.156625938415528,10.04973395,73.892,44.74467468,9.9,5.919000148773191,81.828,Dominican Republic
100.0,954.76373291,4138.97340698812,4.99870014190674,5.800627345700001,76.8,39.84345627,7.1,4.23799991607666,63.986000000000004,Ecuador
100.0,592.34143066,3941.87976762568,3.59242010116577,52.018926167,73.096,28.78990173,13.7,4.19600009918213,72.74600000000001,El Salvador
67.03250122070311,696.58062744,3743233.02885199,3.484800004959106,3.409461136444,58.402,75.3346405,16.4,6.46999979019165,72.627,Equatorial Guinea
49.615543365478494,73.70491028,207063.39940994084,3.3409979343414307,7.007106707299999,65.941,48.64292145,7.9,5.17199993133545,43.9414,Eritrea
